step,info
37500,"grad_norm=0.1755, loss=0.0059, param_norm=1387.9681"
37600,"grad_norm=0.1682, loss=0.0059, param_norm=1387.9755"
37700,"grad_norm=0.1645, loss=0.0058, param_norm=1387.9828"
37800,"grad_norm=0.1600, loss=0.0058, param_norm=1387.9901"
37900,"grad_norm=0.1781, loss=0.0060, param_norm=1387.9974"
38000,"grad_norm=0.1765, loss=0.0058, param_norm=1388.0046"
38100,"grad_norm=0.1801, loss=0.0058, param_norm=1388.0120"
38200,"grad_norm=0.1726, loss=0.0058, param_norm=1388.0193"
38300,"grad_norm=0.1718, loss=0.0057, param_norm=1388.0265"
38400,"grad_norm=0.1783, loss=0.0058, param_norm=1388.0334"
38500,"grad_norm=0.1741, loss=0.0059, param_norm=1388.0408"
38600,"grad_norm=0.1793, loss=0.0057, param_norm=1388.0481"
38700,"grad_norm=0.1775, loss=0.0058, param_norm=1388.0555"
38800,"grad_norm=0.1706, loss=0.0057, param_norm=1388.0630"
38900,"grad_norm=0.1648, loss=0.0058, param_norm=1388.0701"
39000,"grad_norm=0.1704, loss=0.0057, param_norm=1388.0775"
39100,"grad_norm=0.1602, loss=0.0056, param_norm=1388.0850"
39200,"grad_norm=0.1695, loss=0.0057, param_norm=1388.0923"
39300,"grad_norm=0.1749, loss=0.0057, param_norm=1388.1000"
39400,"grad_norm=0.1718, loss=0.0057, param_norm=1388.1074"
39500,"grad_norm=0.1737, loss=0.0056, param_norm=1388.1150"
39600,"grad_norm=0.1744, loss=0.0059, param_norm=1388.1222"
39700,"grad_norm=0.1705, loss=0.0060, param_norm=1388.1296"
39800,"grad_norm=0.1705, loss=0.0057, param_norm=1388.1367"
39900,"grad_norm=0.1669, loss=0.0056, param_norm=1388.1440"
